,Name,PD Notation,Volume,Crossing Number,Determinant,n_crossings,n_faces,writhe,is_alternating,n_edges,n_nodes,average_degree,std_degrees,density
24,8^2_12,[[13; 0; 14; 1]; [1; 12; 2; 13]; [9; 2; 10; 3]; [3; 10; 4; 11]; [7; 5; 8; 4]; [5; 15; 6; 14]; [15; 7; 12; 6]; [11; 8; 0; 9]],9.659498545,8,31,8,10,-2,True,16,10,3.2,0.9797958971132713,0.35555555555555557
25,8^2_13,[[13; 0; 14; 1]; [1; 8; 2; 9]; [15; 3; 12; 2]; [3; 7; 4; 6]; [11; 4; 0; 5]; [5; 10; 6; 11]; [7; 15; 8; 14]; [9; 12; 10; 13]],11.37077418,8,31,8,10,-2,True,16,10,3.2,0.6,0.35555555555555557
26,8^2_14,[[0; 14; 1; 13]; [8; 2; 9; 1]; [2; 8; 3; 7]; [14; 4; 15; 3]; [4; 0; 5; 11]; [10; 6; 11; 5]; [6; 12; 7; 15]; [12; 10; 13; 9]],10.66697913,8,31,8,10,8,True,16,10,3.2,0.7483314773547882,0.35555555555555557
27,8^2_15,[[7; 1; 8; 0]; [1; 7; 2; 6]; [2; 14; 3; 13]; [12; 4; 13; 3]; [9; 4; 10; 5]; [5; 8; 6; 9]; [15; 10; 12; 11]; [11; 14; 0; 15]],3.663862377,8,31,8,10,0,False,16,10,3.2,1.1661903789690602,0.35555555555555557
28,8^2_16,[[3; 1; 4; 0]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [12; 5; 13; 6]; [6; 13; 7; 14]; [15; 10; 12; 11]; [11; 14; 0; 15]],5.333489567,8,31,8,10,-4,False,16,10,3.2,0.9797958971132713,0.35555555555555557
29,9^2_1,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [14; 3; 15; 4]; [4; 15; 5; 16]; [16; 5; 17; 6]; [6; 9; 7; 0]; [10; 8; 11; 7]; [8; 10; 9; 17]],5.044899163,9,31,9,11,-5,True,18,11,3.272727272727273,2.0489868490153897,0.32727272727272727
30,9^2_2,[[11; 0; 12; 1]; [1; 10; 2; 11]; [17; 2; 10; 3]; [3; 16; 4; 17]; [15; 4; 16; 5]; [5; 8; 6; 9]; [13; 7; 14; 6]; [7; 13; 8; 12]; [9; 14; 0; 15]],7.244320351,9,31,9,11,-5,True,18,11,3.272727272727273,1.656442468935327,0.32727272727272727
31,9^2_3,[[0; 7; 1; 8]; [6; 1; 7; 2]; [2; 5; 3; 6]; [12; 3; 13; 4]; [4; 13; 5; 14]; [8; 12; 9; 17]; [16; 10; 17; 9]; [10; 16; 11; 15]; [14; 0; 15; 11]],8.085586606,9,31,9,11,-1,True,18,11,3.272727272727273,1.5427784316797402,0.32727272727272727
32,9^2_4,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [8; 3; 9; 4]; [4; 10; 5; 17]; [16; 6; 17; 5]; [6; 16; 7; 15]; [14; 8; 15; 7]; [10; 9; 11; 0]],5.875918083,9,31,9,11,-1,True,18,11,3.272727272727273,1.8630819574471995,0.32727272727272727
33,9^2_5,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [8; 4; 9; 3]; [4; 16; 5; 15]; [16; 6; 17; 5]; [6; 10; 7; 17]; [10; 8; 11; 7]; [14; 9; 15; 0]],8.051684059,9,31,9,11,1,True,18,11,3.272727272727273,1.4200453956193917,0.32727272727272727
34,9^2_6,[[0; 12; 1; 11]; [10; 2; 11; 1]; [2; 9; 3; 0]; [14; 3; 15; 4]; [4; 13; 5; 14]; [12; 5; 13; 6]; [6; 15; 7; 16]; [16; 7; 17; 8]; [8; 17; 9; 10]],9.181187331,9,31,9,11,-5,True,18,11,3.272727272727273,1.4200453956193917,0.32727272727272727
35,9^2_7,[[11; 0; 12; 1]; [1; 12; 2; 13]; [15; 2; 16; 3]; [3; 6; 4; 7]; [17; 5; 10; 4]; [5; 17; 6; 16]; [7; 14; 8; 15]; [13; 8; 14; 9]; [9; 10; 0; 11]],10.39437266,9,31,9,11,-5,True,18,11,3.272727272727273,1.28564869306645,0.32727272727272727
36,9^2_8,[[0; 12; 1; 11]; [10; 2; 11; 1]; [2; 9; 3; 0]; [8; 3; 9; 4]; [4; 13; 5; 14]; [16; 5; 17; 6]; [6; 15; 7; 16]; [14; 7; 15; 8]; [12; 17; 13; 10]],8.584394654,9,31,9,11,-5,True,18,11,3.272727272727273,1.4826824027545538,0.32727272727272727
37,9^2_9,[[11; 1; 12; 0]; [1; 11; 2; 10]; [17; 3; 10; 2]; [3; 9; 4; 8]; [15; 4; 16; 5]; [5; 12; 6; 13]; [13; 6; 14; 7]; [7; 14; 8; 15]; [9; 17; 0; 16]],9.417807632,9,31,9,11,1,True,18,11,3.272727272727273,1.4200453956193917,0.32727272727272727
38,9^2_10,[[11; 0; 12; 1]; [1; 10; 2; 11]; [9; 2; 10; 3]; [3; 8; 4; 9]; [7; 4; 8; 5]; [5; 17; 6; 16]; [15; 7; 16; 6]; [17; 12; 14; 13]; [13; 14; 0; 15]],6.784755787,9,31,9,11,-5,True,18,11,3.272727272727273,1.8630819574471997,0.32727272727272727
39,9^2_11,[[0; 14; 1; 13]; [4; 1; 5; 2]; [2; 17; 3; 12]; [12; 3; 13; 4]; [10; 5; 11; 6]; [6; 9; 7; 10]; [16; 8; 17; 7]; [8; 16; 9; 15]; [14; 0; 15; 11]],10.75904664,9,31,9,11,-1,True,18,11,3.272727272727273,1.2856486930664501,0.32727272727272727
40,9^2_12,[[0; 14; 1; 13]; [12; 2; 13; 1]; [2; 11; 3; 0]; [16; 3; 17; 4]; [4; 10; 5; 9]; [8; 6; 9; 5]; [6; 15; 7; 16]; [14; 7; 15; 8]; [10; 17; 11; 12]],11.1884778,9,31,9,11,-1,True,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
41,9^2_13,[[0; 8; 1; 7]; [8; 2; 9; 1]; [2; 10; 3; 9]; [10; 4; 11; 3]; [4; 12; 5; 11]; [16; 5; 17; 6]; [6; 15; 7; 16]; [12; 14; 13; 17]; [14; 0; 15; 13]],6.784755787,9,31,9,11,5,True,18,11,3.272727272727273,1.8630819574471997,0.32727272727272727
42,9^2_14,[[0; 7; 1; 8]; [8; 1; 9; 2]; [2; 9; 3; 10]; [10; 3; 11; 4]; [4; 15; 5; 16]; [14; 5; 15; 6]; [6; 11; 7; 12]; [12; 17; 13; 14]; [16; 13; 17; 0]],9.312341317,9,31,9,11,-9,True,18,11,3.272727272727273,1.3545149477955765,0.32727272727272727
43,9^2_15,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 10; 3; 9]; [8; 4; 9; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [6; 17; 7; 14]; [16; 7; 17; 8]; [14; 0; 15; 13]],10.24919497,9,31,9,11,5,True,18,11,3.272727272727273,1.2856486930664501,0.32727272727272727
44,9^2_16,[[0; 15; 1; 16]; [8; 1; 9; 2]; [2; 11; 3; 12]; [10; 3; 11; 4]; [4; 9; 5; 10]; [14; 5; 15; 6]; [6; 17; 7; 14]; [12; 7; 13; 8]; [16; 13; 17; 0]],10.56280631,9,31,9,11,-9,True,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
45,9^2_17,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [3; 14; 4; 15]; [17; 4; 14; 5]; [5; 12; 6; 13]; [11; 6; 12; 7]; [7; 10; 8; 11]; [13; 16; 0; 17]],9.665346419,9,31,9,11,-9,True,18,11,3.272727272727273,1.482682402754554,0.32727272727272727
