Name,PD Notation,Crossing Number,Determinant,Volume
11a_358,[[8;2;9;1];[14;4;15;3];[22;10;1;9];[20;12;21;11];[12;20;13;19];[10;22;11;21];[16;6;17;5];[18;8;19;7];[2;14;3;13];[4;16;5;15];[6;18;7;17]],11,31,6.102803165
12n_309,[[1;5;2;4];[3;11;4;10];[5;13;6;12];[18;8;19;7];[9;3;10;2];[11;9;12;8];[20;13;21;14];[22;15;23;16];[24;17;1;18];[6;20;7;19];[14;21;15;22];[16;23;17;24]],12,1,6.343760889
7_5,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],7,17,6.443537381
12n_475,[[1;5;2;4];[3;11;4;10];[16;6;17;5];[18;8;19;7];[9;3;10;2];[11;20;12;21];[13;22;14;23];[15;24;16;1];[8;18;9;17];[6;20;7;19];[21;12;22;13];[23;14;24;15]],12,7,6.45137056
8_21,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[14;3;15;4];[15;11;16;10]],8,15,6.78371352
11n_49,[[4;2;5;1];[15;20;16;21];[8;3;9;4];[2;9;3;10];[7;17;8;16];[13;22;14;1];[21;14;22;15];[17;11;18;10];[5;12;6;13];[11;19;12;18];[19;7;20;6]],11,1,6.909110132
3_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]],3,3,0
5_1,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],5,5,0
7_1,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],7,7,0
7_6,[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]],7,19,7.084925954
7_7,[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]],7,21,7.643375172
8_5,[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]],8,21,6.997189148
8_6,[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]],8,23,7.47523743
8_7,[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]],8,23,7.022196589
8_8,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],8,25,7.801341224
8_9,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],8,25,7.588180224
8_10,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],8,27,8.651148558
8_11,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],8,27,8.286316818
8_12,[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]],8,29,8.935856928
8_13,[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],8,29,8.531232202
8_14,[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]],8,31,9.217800316
8_15,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],8,33,9.930648294
8_16,[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]],8,35,10.57902192
8_17,[[6;2;7;1];[14;8;15;7];[8;3;9;4];[2;13;3;14];[12;5;13;6];[4;9;5;10];[16;12;1;11];[10;16;11;15]],8,37,10.98590761
8_18,[[6;2;7;1];[8;3;9;4];[16;11;1;12];[2;14;3;13];[4;15;5;16];[10;6;11;5];[12;7;13;8];[14;10;15;9]],8,45,12.35090621
8_19,[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]],8,3,0
9_1,[[1;11;2;10];[3;13;4;12];[5;15;6;14];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],9,9,0
9_6,[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]],9,27,7.203600762
9_7,[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]],9,29,8.014861458
9_8,[[1;16;2;17];[3;14;4;15];[5;11;6;10];[7;1;8;18];[9;13;10;12];[11;7;12;6];[13;4;14;5];[15;2;16;3];[17;9;18;8]],9,31,8.192347962
9_9,[[1;13;2;12];[3;9;4;8];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;1;12;18];[13;5;14;4];[15;7;16;6];[17;11;18;10]],9,31,8.016815566
9_10,[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],9,33,8.773457282
9_11,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;3;13;4];[14;5;15;6];[16;2;17;1];[18;9;1;10]],9,33,8.288589043
9_12,[[2;9;3;10];[4;16;5;15];[6;14;7;13];[8;3;9;4];[10;18;11;17];[12;8;13;7];[14;6;15;5];[16;2;17;1];[18;12;1;11]],9,35,8.836642344
9_13,[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],9,37,9.135094038
9_14,[[1;12;2;13];[3;10;4;11];[5;16;6;17];[7;1;8;18];[9;4;10;5];[11;2;12;3];[13;9;14;8];[15;6;16;7];[17;15;18;14]],9,37,8.954989262
9_15,[[2;9;3;10];[4;7;5;8];[6;15;7;16];[8;3;9;4];[10;14;11;13];[12;17;13;18];[14;5;15;6];[16;2;17;1];[18;11;1;12]],9,39,9.88549866
9_16,[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]],9,39,9.88300696
9_17,[[1;9;2;8];[3;12;4;13];[5;16;6;17];[7;1;8;18];[9;3;10;2];[11;4;12;5];[13;11;14;10];[15;6;16;7];[17;15;18;14]],9,39,9.474580454
9_18,[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]],9,41,10.05772964
9_19,[[2;14;3;13];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;8;13;7];[14;2;15;1];[16;9;17;10];[18;16;1;15]],9,41,10.03254745
9_20,[[1;11;2;10];[3;16;4;17];[5;13;6;12];[7;3;8;2];[9;1;10;18];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;9;18;8]],9,41,9.644304074
9_21,[[2;7;3;8];[4;13;5;14];[6;15;7;16];[8;12;9;11];[10;17;11;18];[12;5;13;6];[14;3;15;4];[16;2;17;1];[18;9;1;10]],9,43,10.18326554
9_22,[[1;7;2;6];[3;8;4;9];[5;14;6;15];[7;11;8;10];[9;2;10;3];[11;17;12;16];[13;1;14;18];[15;4;16;5];[17;13;18;12]],9,43,10.62072702
