Name,PD Notation,Volume,Crossing Number,Determinant
9^2_11,[[0; 14; 1; 13]; [4; 1; 5; 2]; [2; 17; 3; 12]; [12; 3; 13; 4]; [10; 5; 11; 6]; [6; 9; 7; 10]; [16; 8; 17; 7]; [8; 16; 9; 15]; [14; 0; 15; 11]],10.7590466408,9,31
9^2_12,[[0; 14; 1; 13]; [12; 2; 13; 1]; [2; 11; 3; 0]; [16; 3; 17; 4]; [4; 10; 5; 9]; [8; 6; 9; 5]; [6; 15; 7; 16]; [14; 7; 15; 8]; [10; 17; 11; 12]],11.1884778025,9,31
9^2_13,[[0; 8; 1; 7]; [8; 2; 9; 1]; [2; 10; 3; 9]; [10; 4; 11; 3]; [4; 12; 5; 11]; [16; 5; 17; 6]; [6; 15; 7; 16]; [12; 14; 13; 17]; [14; 0; 15; 13]],6.78475578693,9,31
9^2_14,[[0; 7; 1; 8]; [8; 1; 9; 2]; [2; 9; 3; 10]; [10; 3; 11; 4]; [4; 15; 5; 16]; [14; 5; 15; 6]; [6; 11; 7; 12]; [12; 17; 13; 14]; [16; 13; 17; 0]],9.3123413166,9,31
9^2_15,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 10; 3; 9]; [8; 4; 9; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [6; 17; 7; 14]; [16; 7; 17; 8]; [14; 0; 15; 13]],10.2491949680,9,31
9^2_16,[[0; 15; 1; 16]; [8; 1; 9; 2]; [2; 11; 3; 12]; [10; 3; 11; 4]; [4; 9; 5; 10]; [14; 5; 15; 6]; [6; 17; 7; 14]; [12; 7; 13; 8]; [16; 13; 17; 0]],10.5628063121,9,31
9^2_17,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [3; 14; 4; 15]; [17; 4; 14; 5]; [5; 12; 6; 13]; [11; 6; 12; 7]; [7; 10; 8; 11]; [13; 16; 0; 17]],9.6653464194,9,31
9^2_18,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 8; 3; 7]; [6; 4; 7; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [8; 17; 9; 14]; [16; 9; 17; 10]; [14; 0; 15; 13]],11.3817860906,9,31
9^2_19,[[7; 1; 8; 0]; [1; 9; 2; 8]; [9; 3; 10; 2]; [3; 13; 4; 12]; [13; 5; 14; 4]; [5; 15; 6; 14]; [15; 7; 16; 6]; [17; 10; 12; 11]; [11; 16; 0; 17]],7.4535732503,9,31
9^2_20,[[13; 1; 14; 0]; [1; 6; 2; 7]; [7; 2; 8; 3]; [3; 15; 4; 14]; [15; 5; 16; 4]; [5; 8; 6; 9]; [9; 17; 10; 16]; [17; 11; 12; 10]; [11; 13; 0; 12]],9.1244155094,9,31
9^2_21,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 9; 4; 8]; [9; 5; 10; 4]; [5; 11; 6; 10]; [17; 7; 12; 6]; [7; 13; 8; 12]; [11; 16; 0; 17]],9.8147296988,9,31
9^2_22,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 8; 4; 9]; [9; 4; 10; 5]; [5; 12; 6; 13]; [17; 6; 12; 7]; [7; 10; 8; 11]; [11; 16; 0; 17]],10.9566578166,9,31
9^2_23,[[0; 11; 1; 12]; [10; 1; 11; 2]; [2; 17; 3; 10]; [6; 3; 7; 4]; [4; 14; 5; 13]; [12; 6; 13; 5]; [16; 7; 17; 8]; [8; 15; 9; 16]; [14; 9; 15; 0]],9.6343801596,9,31
9^2_24,[[0; 13; 1; 14]; [10; 1; 11; 2]; [2; 5; 3; 6]; [16; 3; 17; 4]; [4; 17; 5; 12]; [6; 9; 7; 10]; [14; 7; 15; 8]; [8; 15; 9; 16]; [12; 11; 13; 0]],12.046092040,9,31
9^2_25,[[13; 1; 14; 0]; [1; 6; 2; 7]; [5; 2; 6; 3]; [3; 11; 4; 10]; [9; 5; 10; 4]; [7; 16; 8; 17]; [15; 8; 16; 9]; [11; 13; 0; 12]; [17; 15; 12; 14]],11.381786091,9,31
9^2_26,[[3; 1; 4; 0]; [1; 15; 2; 14]; [15; 3; 16; 2]; [11; 5; 12; 4]; [5; 9; 6; 8]; [13; 6; 0; 7]; [7; 12; 8; 13]; [9; 17; 10; 16]; [17; 11; 14; 10]],11.7622342871,9,31
9^2_27,[[5; 1; 6; 0]; [1; 5; 2; 4]; [15; 2; 16; 3]; [3; 14; 4; 15]; [11; 7; 12; 6]; [7; 13; 8; 12]; [13; 9; 0; 8]; [9; 17; 10; 16]; [17; 11; 14; 10]],10.249194968,9,31
9^2_28,[[5; 1; 6; 0]; [1; 5; 2; 4]; [15; 2; 16; 3]; [3; 14; 4; 15]; [9; 6; 10; 7]; [7; 12; 8; 13]; [13; 8; 0; 9]; [17; 10; 14; 11]; [11; 16; 12; 17]],10.7402576677,9,31
9^2_29,[[0; 5; 1; 6]; [6; 1; 7; 2]; [2; 7; 3; 8]; [10; 3; 11; 4]; [4; 11; 5; 12]; [8; 16; 9; 15]; [16; 10; 17; 9]; [12; 14; 13; 17]; [14; 0; 15; 13]],11.2949691358,9,31
9^2_30,[[9; 1; 10; 0]; [1; 9; 2; 8]; [15; 2; 16; 3]; [3; 14; 4; 15]; [7; 5; 8; 4]; [5; 11; 6; 10]; [11; 7; 12; 6]; [17; 12; 14; 13]; [13; 16; 0; 17]],12.2765627777,9,31
9^2_31,[[15; 0; 16; 1]; [1; 9; 2; 8]; [17; 3; 14; 2]; [3; 10; 4; 11]; [11; 4; 12; 5]; [5; 12; 6; 13]; [13; 6; 0; 7]; [7; 15; 8; 14]; [9; 16; 10; 17]],10.215605665,9,31
9^2_32,[[0; 16; 1; 15]; [8; 2; 9; 1]; [2; 17; 3; 14]; [10; 3; 11; 4]; [4; 13; 5; 0]; [12; 5; 13; 6]; [6; 11; 7; 12]; [16; 7; 17; 8]; [14; 10; 15; 9]],12.4572079806,9,31
9^2_33,[[0; 16; 1; 15]; [10; 1; 11; 2]; [2; 17; 3; 14]; [8; 4; 9; 3]; [4; 8; 5; 7]; [12; 6; 13; 5]; [6; 0; 7; 13]; [14; 9; 15; 10]; [16; 12; 17; 11]],12.6312232255,9,31
9^2_34,[[5; 1; 6; 0]; [1; 7; 2; 6]; [13; 3; 14; 2]; [3; 10; 4; 11]; [15; 4; 16; 5]; [7; 16; 8; 17]; [17; 8; 12; 9]; [9; 12; 10; 13]; [11; 15; 0; 14]],11.9428724495,9,31
9^2_35,[[0; 14; 1; 13]; [6; 1; 7; 2]; [2; 7; 3; 8]; [16; 4; 17; 3]; [4; 10; 5; 9]; [12; 5; 13; 6]; [8; 17; 9; 12]; [10; 16; 11; 15]; [14; 0; 15; 11]],11.3735224329,9,31
9^2_36,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [3; 14; 4; 15]; [13; 5; 0; 4]; [5; 13; 6; 12]; [11; 7; 12; 6]; [7; 17; 8; 16]; [17; 11; 14; 10]],11.4716283560,9,31
9^2_37,[[0; 16; 1; 15]; [8; 2; 9; 1]; [2; 10; 3; 9]; [14; 4; 15; 3]; [4; 11; 5; 12]; [12; 5; 13; 6]; [6; 13; 7; 0]; [16; 7; 17; 8]; [10; 17; 11; 14]],11.471628356,9,31
9^2_38,[[15; 0; 16; 1]; [1; 10; 2; 11]; [9; 2; 10; 3]; [3; 16; 4; 17]; [7; 5; 8; 4]; [5; 13; 6; 12]; [13; 7; 0; 6]; [17; 8; 14; 9]; [11; 14; 12; 15]],13.040401370,9,31
9^2_39,[[0; 13; 1; 14]; [6; 2; 7; 1]; [2; 8; 3; 7]; [14; 3; 15; 4]; [4; 17; 5; 12]; [10; 6; 11; 5]; [8; 16; 9; 15]; [16; 10; 17; 9]; [12; 11; 13; 0]],12.5361702582,9,31
